,AUWHXEA1AXCVE,A2OWT6YNGSTFGZ,A2XGOBIWUDYLOT,A1DXFMUVK5015A,A27XCW38I77SZ6,A2UC4H3EHIMWGC,AECKWX9PFTHOM,A2DW47AFPJWXAM,A1G3G0YQ80PTL9,A4RT8SPRCRYVN,A1830YARZUAFPX,ASVP3M0AQ1HG4,AQ0ENO64Z0MBF,ATXUM0GBU5MC8,A2BACJE00ZUDXS,AZE7YSINS9UNZ,A32DRYN7M7HIZT,A2LRY3ID0PEG82,AVT0YEI6ESW25,A24HYROUW8ZMZ,AYJEQZWQZ471L,A11K4HY613LGHX,AZ4ZQMOFA3GND,ADFK3HW4HAH48,A2UF26QQNQOFCZ,A18EYZSDYZ7NIG,A1Y2N49VMVJ7C6,AOZ5HHRV4LTJF,A2IK4Y33UY7YFK,A1E2ADZSSESHHP,A22JTMBADARX55,A1VOFYYXKZWG7W,AFASY2VX8PADR,A2ZX5TLZPAQ2XD,A1X4KK8GK21WI4,A2XTDTDT3QSCB,A31J4TQIDERVVE,A3DZKVP1OBSTRF,A2RY24DUOWXUWU,A25SORYWGW7RQC,A1LD9ZQ3XTCWUN,AZR34QLGQARBV,A34HKFZ7LF12EC,A2OTDMCV8CZWML,A1FPCIKO68OQ63,A13QHXMU0OMNAY,A3L4JI1S352HB8,A1BWZQ1PEJG1HX,AKH0WFAUBUKUS,A1Z2P53Z69SJ92,A1PAFL0DX7EMAZ,A3VZA2YUYAOE0K,AK3DF1BXS8DSM,ABVPW8753ZBJO,A2EL6CXCGP4OB0,A2NPUPP06POEJ0,A2HNP1YL1IBFMU,A3QQD8CMGDUN8X
R15_4815_A_O,,,,,l2diff,,,,,,,l2diff,,l2,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,
R15_5365_~_O,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,
R15_5366_A_N,,,,,l2diff,,,,,,,l2,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,
R15_5571_~_N,,,,,l2,,,,,,,l2,,l2,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,
R15_575_N_~,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,
R15_6734_A_~,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,
R16_1153_A_N,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,
R16_135_N_O,,,,,l2diff,,,,,,,l2,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,
R16_1627_O_A,,,,,l2diff,,,,,,,l2diff,,l2,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,
R16_2224_A_~,,,,,l2diff,,,,,,,l2,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,
R19_3739_~_O,,,,,l2,,,,,,,,,,,,,,,,,l2,,,,,,,,l2,,,,,,,,,,,,,,,l2,,l2,,,,,,,,,,,
R19_4218_A_O,,,,,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,
R19_512_N_A,,,,,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,
R19_729_N_~,,,,,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,
R2_1872_O_N,,,,,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,l2,,,,,,,,,,,
R2_272_N_A,,,,,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,
R2_284_N_~,,,,,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,
R2_3246_A_N,,,,,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,
R2_4170_~_N,,,,,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,
R2_5289_A_~,,,,,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,
R25_4349_A_N,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,l2diff,,,l2,,,,,l2,,,,,,,,,,
R25_4522_~_N,,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,l2diff,,,l2,,,l2,,,,,l2,,,,,,,,,,
R25_454_N_O,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,l2diff,,,l2diff,,,,,l2,,,,,,,,,,
R25_4658_A_O,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2,,,l2,,,l2,,,,,l2diff,,,,,,,,,,
R25_505_N_A,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2,,,l2diff,,,l2diff,,,,,l2,,,,,,,,,,
R25_6526_A_~,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,l2diff,,,l2diff,,,,,l2,,,,,,,,,,
R25_699_O_~,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,l2,,,l2diff,,,,,l2,,,,,,,,,,
R25_906_O_N,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,l2diff,,,l2,,,,,l2,,,,,,,,,,
R26_1124_O_~,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,l2diff,,,l2,,,,,l2diff,,,,,,,,,,
R26_1461_O_A,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2,,,l2diff,,,l2diff,,,,,l2diff,,,,,,,,,,
R3_2833_~_O,,,l2diff,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R3_2895_A_N,,,l2diff,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R3_302_N_~,,,l2diff,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R3_320_N_A,,,l2diff,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R3_4503_~_A,,,l2,,,,,,,,,,,,,l2diff,,,,,l2,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R3_481_N_O,,,l2,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R3_623_O_~,,,l2,,,,,,,,,,,,,l2diff,,,,,l2,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R3_6695_A_~,,,l2diff,,,,,,,,,,,,,l2diff,,,,,l2,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R30_1036_O_~,,,l2diff,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R30_123_O_A,,,l2diff,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R38_592_A_O,,,,,,l2diff,,,,l2,l2diff,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,
R38_6_N_O,,,,,,l2diff,,,,l2diff,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R38_7320_~_O,,,,,,l2diff,,,,l2,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R38_892_O_A,,,,,,l2,,,,l2diff,l2diff,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,
R38_91_N_~,,,,,,l2diff,,,,l2,l2,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R38_95_N_A,,,,,,l2diff,,,,l2diff,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R39_1183_O_N,,,,,,l2diff,,,,l2diff,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R39_153_N_~,,,,,,l2,,,,l2diff,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R39_1581_O_A,,,,,,l2,,,,l2,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R39_1826_O_~,,,,,,l2diff,,,,l2diff,l2,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R47_29_O_~,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2,,,,,l2diff,,,,l2diff,,,,,,,,,
R47_301_A_O,,,,,,,,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,l2diff,,,,,,,,,
R47_520_A_~,,,,,,,,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,l2,,,,,l2diff,,,,l2diff,,,,,,,,,
R47_569_N_A,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,l2diff,,,,,,,,,
R47_6769_~_N,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2,,,,,l2diff,,,,l2diff,,,,,,,,,
R47_797_N_~,,,,,,,,l2,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2,,,,,l2diff,,,,l2diff,,,,,,,,,
R48_1133_O_~,,,,,,,,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,l2diff,,,,,,,,,
R48_1522_A_O,,,,,,,,l2,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,l2,,,,l2diff,,,,,,,,,
R48_1772_~_N,,,,,,,,l2,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2,,,,,l2diff,,,,l2diff,,,,,,,,,
R48_231_A_N,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,l2diff,,,,,,,,,
R32_474_~_O,,l2,,,,,,,,,,,l2,,,,,,l2,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,l2diff,,,,,,,,
R32_5140_A_N,,l2diff,,,,,,,,,,,l2,,,,,,l2,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,
R32_6241_~_N,,l2diff,,,,,,,,,,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,
R32_96_O_~,,l2diff,,,,,,,,,,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,
R33_1469_O_A,,l2diff,,,,,,,,,,,l2,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,l2,,,,,,,,
R33_1703_~_O,,l2,,,,,,,,,,,l2,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,
R33_282_A_O,,l2diff,,,,,,,,,,,l2diff,,,,,,l2,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,
R33_354_N_~,,l2diff,,,,,,,,,,,l2,,,,,,l2,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,l2diff,,,,,,,,
R33_474_~_A,,l2diff,,,,,,,,,,,l2,,,,,,l2,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,l2diff,,,,,,,,
R33_4805_~_N,,l2diff,,,,,,,,,,,l2diff,,,,,,l2,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,l2diff,,,,,,,,
R5_5670_A_O,,,,,,,,l2diff,,l2,,,,,l2diff,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5_6677_A_~,,,,,,,,l2diff,,l2diff,,,,,l2diff,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6_119_O_~,,,,,,,,l2diff,,l2,,,,,l2diff,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6_140_N_A,,,,,,,,l2diff,,l2diff,,,,,l2diff,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6_2479_~_N,,,,,,,,l2diff,,l2diff,,,,,l2,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6_278_O_N,,,,,,,,l2diff,,l2diff,,,,,l2diff,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6_3295_A_N,,,,,,,,l2,,l2diff,,,,,l2diff,,,,l2,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6_3954_A_O,,,,,,,,l2diff,,l2diff,,,,,l2diff,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6_4522_~_O,,,,,,,,l2diff,,l2,,,,,l2,,,,l2,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6_4918_~_A,,,,,,,,l2diff,,l2diff,,,,,l2,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1_49_N_~,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,l2,,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,
R1_5076_~_A,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,l2diff,,,l2,,,,,,l2diff,,,,,,,,,,,,,,,l2,,,,,,
R1_5591_A_~,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,l2,,,l2diff,,,,,,l2,,,,,,,,,,,,,,,l2diff,,,,,,
R1_6438_~_N,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,l2,,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,
R10_1317_O_A,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,l2,,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,
R10_1651_O_~,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,l2,,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,
R10_2181_~_A,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,l2diff,,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,
R10_260_O_N,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,l2,,,l2diff,,,,,,l2,,,,,,,,,,,,,,,l2diff,,,,,,
R10_419_N_O,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,l2diff,,,l2diff,,,,,,l2,,,,,,,,,,,,,,,l2diff,,,,,,
R10_435_N_A,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,l2diff,,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,l2,,,,,,
R42_238_N_~,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R42_250_N_A,,,,,,,,l2diff,,,,,,,l2diff,,l2,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R42_2933_~_N,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R42_305_N_O,,,,,,,,l2diff,,,,,,,l2diff,,l2,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R42_3541_~_A,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R42_5293_A_~,,,,,,,,l2,,,,,,,l2diff,,l2diff,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R43_1316_O_N,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R43_1620_O_~,,,,,,,,l2,,,,,,,l2diff,,l2diff,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R43_1703_~_A,,,,,,,,l2,,,,,,,l2diff,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R43_1834_O_A,,,,,,,,l2,,,,,,,l2diff,,l2,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R22_10_N_~,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,l2,l2diff,,,,,,,,,,l2diff,,,,,,,,,,
R22_1246_~_N,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,l2diff,l2,,,,,,,,,,l2,,,,,,,,,,
R22_1583_O_N,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,l2diff,l2diff,,,,,,,,,,l2diff,,,,,,,,,,
R22_1627_O_~,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,l2,l2diff,,,,,,,,,,l2,,,,,,,,,,
R22_1753_A_~,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,l2diff,l2diff,,,,,,,,,,l2diff,,,,,,,,,,
R22_2695_A_N,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,l2,l2diff,,,,,,,,,,l2diff,,,,,,,,,,
R22_304_N_O,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,l2,l2diff,,,,,,,,,,l2diff,,,,,,,,,,
R22_3596_~_A,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2,,,,,,,l2,l2,,,,,,,,,,l2,,,,,,,,,,
R22_409_N_A,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,l2,l2,,,,,,,,,,l2diff,,,,,,,,,,
R22_4282_~_O,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2,,,,,,,l2,l2diff,,,,,,,,,,l2diff,,,,,,,,,,
R40_1220_O_~,,,,,l2diff,,,,,l2diff,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R40_184_N_~,,,,,l2diff,,,,,l2,l2,,,,,,l2,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R40_328_N_O,,,,,l2diff,,,,,l2,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R40_3670_A_O,,,,,l2diff,,,,,l2,l2,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R40_3738_~_N,,,,,l2,,,,,l2,l2,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,
R40_5341_~_A,,,,,l2,,,,,l2,l2,,,,,,l2,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,
R40_6695_A_N,,,,,l2diff,,,,,l2,l2,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R40_6713_A_~,,,,,l2diff,,,,,l2diff,l2,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,
R40_6738_~_O,,,,,l2,,,,,l2,l2diff,,,,,,l2,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,
R40_732_O_N,,,,,l2diff,,,,,l2,l2,,,,,,l2,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,
R24_4272_A_~,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,l2diff,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R24_435_N_O,,,,,,,,,l2diff,,,,,,,,,,,l2,,,l2diff,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,,,,,,,,
R24_4916_~_O,,,,,,,,,l2,,,,,,,,,,,l2diff,,,l2diff,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R24_531_N_A,,,,,,,,,l2,,,,,,,,,,,l2diff,,,l2diff,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,,,,,,,,
R24_6755_A_O,,,,,,,,,l2,,,,,,,,,,,l2diff,,,l2diff,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R24_745_O_N,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,l2diff,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R25_124_N_~,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,l2diff,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R25_2785_~_O,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,l2diff,,,,,,,,,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R25_2833_~_A,,,,,,,,,l2,,,,,,,,,,,l2,,,l2,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,,,,,,,,
R25_324_O_A,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,l2diff,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,,,,,,,,
R13_693_O_~,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R13_771_N_A,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R14_121_O_N,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R14_1240_A_O,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R14_168_N_~,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R14_3050_~_A,,,,,,,,,,l2,,l2,,,,,,,,,,,,,,,l2,,l2,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R14_387_N_A,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R14_4503_~_N,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R14_4503_~_O,,,,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R14_476_N_O,,,,,,,,,,l2,,l2,,,,,,,,,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R36_1025_O_~,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,
R36_117_N_O,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,l2,,,,,,,,,,,l2,,,,,,,,,,,,,,,
R36_1753_A_O,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,
R36_1809_O_N,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,
R36_2772_~_N,,,,,,,l2,,l2diff,,,,,,,,,,,,,,,l2,,,,,,,,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,
R36_327_O_A,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,
R36_359_N_A,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,
R36_3592_A_~,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,
R36_445_~_O,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,
R36_633_N_~,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,
R28_4815_A_N,,,,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,l2,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R28_7100_A_O,,,,,,,,,,,,l2,,,,,,,l2,,,,,,,,,l2diff,l2,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,
R28_743_N_A,,,,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,l2,l2,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R28_774_~_N,,,,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,l2,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R29_1031_O_N,,,,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,l2,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
